2018/01/04 17:54:13 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:19 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:19 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:24 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:24 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:25 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:25 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:26 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:26 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:26 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:26 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:27 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:27 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:27 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:27 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:28 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:28 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:28 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:28 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:29 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
